Alive,Susceptible,Infected,Recovered,Dead
100,70,6,24,5
100,70,6,24,5
100,70,6,24,5
100,70,6,24,5
100,69,7,24,5
100,69,7,24,5
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,6,24,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,69,5,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,6,25,6
99,68,5,26,6
99,68,5,26,6
99,68,5,26,6
99,68,5,26,6
99,68,5,26,6
99,68,5,26,6
99,68,5,26,6
99,68,5,26,6
99,68,5,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,6,26,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,67,5,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,6,27,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
